Fine_step Time dt scale_factor Memory%
524.0 0.00885061 1.699e-05 1.0 7.8
525.0 0.0088676 1.699e-05 1.0 7.8
526.0 0.00888459 1.699e-05 1.0 7.8
527.0 0.00890158 1.699e-05 1.0 7.8
528.0 0.00891856 1.699e-05 1.0 7.9
529.0 0.00893555 1.699e-05 1.0 7.9
530.0 0.00895254 1.699e-05 1.0 7.9
531.0 0.00896953 1.699e-05 1.0 7.9
532.0 0.00898651 1.699e-05 1.0 7.9
533.0 0.0090035 1.699e-05 1.0 7.9
534.0 0.00902049 1.699e-05 1.0 8.0
535.0 0.00903748 1.699e-05 1.0 8.0
536.0 0.00905447 1.699e-05 1.0 8.0
537.0 0.00907145 1.699e-05 1.0 8.0
538.0 0.00908844 1.699e-05 1.0 8.0
539.0 0.00910543 1.699e-05 1.0 8.0
540.0 0.00912242 1.699e-05 1.0 8.1
541.0 0.0091394 1.699e-05 1.0 8.1
542.0 0.00915639 1.699e-05 1.0 8.1
543.0 0.00917338 1.699e-05 1.0 8.1
544.0 0.00919037 1.699e-05 1.0 8.1
545.0 0.00920735 1.699e-05 1.0 8.1
546.0 0.00922434 1.699e-05 1.0 8.1
547.0 0.00924133 1.699e-05 1.0 8.1
548.0 0.00925832 1.699e-05 1.0 8.1
549.0 0.00927531 1.699e-05 1.0 8.1
550.0 0.00929229 1.699e-05 1.0 8.2
551.0 0.00930928 1.699e-05 1.0 8.2
552.0 0.00932627 1.699e-05 1.0 8.2
553.0 0.00934326 1.699e-05 1.0 8.2
554.0 0.00936024 1.699e-05 1.0 8.2
